,Test 0,Test 1,Test 2,Test 3,Test 4,Test 5,Test 6,Test 7,Test 8,Test 9,Test 10,Test 11,Test 12,Test 13,Test 14,Test 15,Test 16,Test 17,Test 18,Test 19
baseline,0.103200004,0.103200004,0.103200004,0.103200004,0.103200004,0.103200004,0.103200004,0.103200004,0.103200004,0.103200004,0.103200004,0.103200004,0.103200004,0.103200004,0.103200004,0.103200004,0.103200004,0.103200004,0.103200004,0.103200004
Train 0,0.980199993,0.939899981,0.896899998,0.716400027,0.536499977,0.386599988,0.301299989,0.268299997,0.200599998,0.186900005,0.153099999,0.136199996,0.140699998,0.169599995,0.200200006,0.228300005,0.292100012,0.3222,0.323300004,0.328200012
Train 1,0.980199993,0.978500009,0.975300014,0.931299984,0.823199987,0.6602,0.515999973,0.435000002,0.273000002,0.214300007,0.1611,0.135499999,0.123400003,0.118299998,0.125799999,0.137799993,0.194600001,0.256000012,0.282999992,0.28639999
Train 2,0.980199993,0.978500009,0.980599999,0.960200012,0.890200019,0.762399971,0.612800002,0.521399975,0.319799989,0.239800006,0.165700004,0.143199995,0.148499995,0.153699994,0.1602,0.167500004,0.197500005,0.249899998,0.285899997,0.294099987
Train 3,0.980199993,0.978500009,0.980599999,0.969900012,0.953999996,0.911899984,0.824500024,0.757300019,0.521499991,0.387699991,0.223199993,0.160400003,0.145199999,0.1285,0.123099998,0.117899999,0.120800003,0.149599999,0.187299997,0.196600005
Train 4,0.980199993,0.978500009,0.980599999,0.969900012,0.976300001,0.958800018,0.921700001,0.873099983,0.69599998,0.584699988,0.364199996,0.240700006,0.185299993,0.165999994,0.163800001,0.164900005,0.169100001,0.182400003,0.199000001,0.206799999
Train 5,0.980199993,0.978500009,0.980599999,0.969900012,0.976300001,0.977299988,0.97359997,0.964399993,0.889699996,0.813000023,0.520500004,0.321399987,0.221100003,0.161699995,0.148800001,0.142800003,0.142700002,0.145099998,0.155900002,0.161799997
Train 6,0.980199993,0.978500009,0.980599999,0.969900012,0.976300001,0.977299988,0.970200002,0.969399989,0.930400014,0.888199985,0.660399973,0.460500002,0.317099988,0.2192,0.188800007,0.167199999,0.146200001,0.142199993,0.152500004,0.159099996
Train 7,0.980199993,0.978500009,0.980599999,0.969900012,0.976300001,0.977299988,0.970200002,0.976599991,0.962199986,0.930700004,0.773699999,0.549799979,0.374799997,0.237299994,0.180500001,0.148800001,0.122299999,0.130199999,0.137700006,0.140400007
Train 8,0.980199993,0.978500009,0.980599999,0.969900012,0.976300001,0.977299988,0.970200002,0.976599991,0.976499975,0.965499997,0.886699975,0.743499994,0.558499992,0.380699992,0.311199993,0.264499992,0.180399999,0.150800005,0.146799996,0.143000007
Train 9,0.980199993,0.978500009,0.980599999,0.969900012,0.976300001,0.977299988,0.970200002,0.976599991,0.976499975,0.978500009,0.941100001,0.869000018,0.734399974,0.519599974,0.400599986,0.299299985,0.169699997,0.128800005,0.131500006,0.134399995
Train 10,0.980199993,0.978500009,0.980599999,0.969900012,0.976300001,0.977299988,0.970200002,0.976599991,0.976499975,0.978500009,0.976800025,0.962800026,0.914799988,0.782800019,0.676299989,0.557500005,0.322400004,0.196600005,0.158899993,0.149299994
Train 11,0.980199993,0.978500009,0.980599999,0.969900012,0.976300001,0.977299988,0.970200002,0.976599991,0.976499975,0.978500009,0.976800025,0.981000006,0.970799983,0.923200011,0.867200017,0.778500021,0.525300026,0.295599997,0.216900006,0.177399993
Train 12,0.980199993,0.978500009,0.980599999,0.969900012,0.976300001,0.977299988,0.970200002,0.976599991,0.976499975,0.978500009,0.976800025,0.981000006,0.974900007,0.966300011,0.948599994,0.912400007,0.724399984,0.46419999,0.328299999,0.2667
Train 13,0.980199993,0.978500009,0.980599999,0.969900012,0.976300001,0.977299988,0.970200002,0.976599991,0.976499975,0.978500009,0.976800025,0.981000006,0.974900007,0.976599991,0.974799991,0.966400027,0.883899987,0.657299995,0.499199986,0.3917
Train 14,0.980199993,0.978500009,0.980599999,0.969900012,0.976300001,0.977299988,0.970200002,0.976599991,0.976499975,0.978500009,0.976800025,0.981000006,0.974900007,0.976599991,0.970600009,0.966400027,0.904900014,0.719500005,0.568499982,0.465999991
Train 15,0.980199993,0.978500009,0.980599999,0.969900012,0.976300001,0.977299988,0.970200002,0.976599991,0.976499975,0.978500009,0.976800025,0.981000006,0.974900007,0.976599991,0.970600009,0.969299972,0.9375,0.802900016,0.667900026,0.575900018
Train 16,0.980199993,0.978500009,0.980599999,0.969900012,0.976300001,0.977299988,0.970200002,0.976599991,0.976499975,0.978500009,0.976800025,0.981000006,0.974900007,0.976599991,0.970600009,0.969299972,0.97329998,0.933399975,0.862299979,0.800499976
Train 17,0.980199993,0.978500009,0.980599999,0.969900012,0.976300001,0.977299988,0.970200002,0.976599991,0.976499975,0.978500009,0.976800025,0.981000006,0.974900007,0.976599991,0.970600009,0.969299972,0.97329998,0.977599978,0.971899986,0.957199991
Train 18,0.980199993,0.978500009,0.980599999,0.969900012,0.976300001,0.977299988,0.970200002,0.976599991,0.976499975,0.978500009,0.976800025,0.981000006,0.974900007,0.976599991,0.970600009,0.969299972,0.97329998,0.977599978,0.975000024,0.958999991
Train 19,0.980199993,0.978500009,0.980599999,0.969900012,0.976300001,0.977299988,0.970200002,0.976599991,0.976499975,0.978500009,0.976800025,0.981000006,0.974900007,0.976599991,0.970600009,0.969299972,0.97329998,0.977599978,0.975000024,0.979700029
