,Test 0,Test 1,Test 2,Test 3,Test 4,Test 5,Test 6,Test 7,Test 8,Test 9,Test 10,Test 11,Test 12,Test 13,Test 14,Test 15,Test 16,Test 17,Test 18,Test 19
baseline,0.050000001,0.0568,0.059099998,0.068700001,0.063900001,0.058600001,0.0515,0.058200002,0.072499998,0.075000003,0.110100001,0.116999999,0.118500002,0.108099997,0.094999999,0.088600002,0.077,0.078400001,0.072499998,0.077200003
Train 0,0.983299971,0.948899984,0.900399983,0.706399977,0.523500025,0.387300014,0.289600015,0.251199991,0.184300005,0.165199995,0.155699998,0.138999999,0.153099999,0.187700003,0.214699998,0.244599998,0.298599988,0.32100001,0.320600003,0.321399987
Train 1,0.31310001,0.981299996,0.978600025,0.93690002,0.819599986,0.6505,0.503000021,0.42019999,0.266900003,0.221900001,0.177699998,0.147699997,0.134599999,0.126599997,0.128299996,0.142700002,0.208499998,0.272799999,0.310099989,0.315200001
Train 2,0.201900005,0.119199999,0.981599987,0.958299994,0.898599982,0.766900003,0.6153,0.527499974,0.313199997,0.241899997,0.164499998,0.1382,0.143299997,0.136899993,0.144199997,0.151600003,0.185699999,0.2456,0.28580001,0.280499995
Train 3,0.288700014,0.0146,0.141399994,0.982299984,0.970799983,0.934899986,0.861800015,0.794099987,0.53579998,0.415100008,0.235699996,0.173299998,0.163900003,0.154899999,0.142299995,0.142000005,0.131099999,0.162100002,0.193800002,0.203600004
Train 4,0.559800029,0.142199993,0.630900025,0.134299994,0.98360002,0.973399997,0.946500003,0.913600028,0.750400007,0.614899993,0.341500014,0.223399997,0.177000001,0.151099995,0.149900004,0.155599996,0.149299994,0.153099999,0.160799995,0.162400007
Train 5,0.142299995,0.0995,0.194399998,0.161899999,0.087700002,0.98299998,0.976300001,0.967000008,0.89380002,0.808399975,0.529100001,0.337300003,0.2421,0.176200002,0.164100006,0.155100003,0.147,0.144999996,0.158999994,0.152799994
Train 6,0.335299999,0.184300005,0.082999997,0.282999992,0.0092,0.508099973,0.984000027,0.980599999,0.955200016,0.911899984,0.6875,0.481400013,0.327399999,0.2183,0.189799994,0.168500006,0.136999995,0.123300001,0.128099993,0.128999993
Train 7,0.166999996,0.328500003,0.079400003,0.405299991,0.1259,0.468400002,0.0955,0.982800007,0.970099986,0.945599973,0.769400001,0.556299984,0.380800009,0.250800014,0.217700005,0.193200007,0.1708,0.155000001,0.150800005,0.149599999
Train 8,0.202700004,0.1228,0.1514,0.211199999,0.430799991,0.225700006,0.199200004,0.125300005,0.981700003,0.973699987,0.907700002,0.751399994,0.56279999,0.3653,0.28459999,0.237900004,0.160500005,0.145099998,0.153300002,0.155200005
Train 9,0.566500008,0.137999997,0.1008,0.240799993,0.091499999,0.457399994,0.202299997,0.163200006,0.242599994,0.984300017,0.957000017,0.893000007,0.755900025,0.538600028,0.426999986,0.341300011,0.241400003,0.201700002,0.191599995,0.180600002
Train 10,0.247999996,0.248099998,0.199200004,0.180099994,0.119499996,0.467900008,0.304699987,0.1752,0.30399999,0.178599998,0.98299998,0.963100016,0.92019999,0.785000026,0.683600008,0.573700011,0.346199989,0.226600006,0.195700005,0.180000007
Train 11,0.055100001,0.248799995,0.0197,0.102899998,0.145799994,0.548799992,0.1118,0.033399999,0.144500002,0.231600001,0.356599987,0.984200001,0.9745,0.930899978,0.871200025,0.777999997,0.528299987,0.317000002,0.251199991,0.226099998
Train 12,0.367300004,0.0616,0.046100002,0.434500009,0.152899995,0.152199998,0.343800008,0.053100001,0.073799998,0.583000004,0.152600005,0.211999997,0.982200027,0.97299999,0.95599997,0.913999975,0.724799991,0.458499998,0.325399995,0.26910001
Train 13,0.295899987,0.1083,0.046100002,0.298099995,0.304699987,0.276899993,0.184100002,0.250999987,0.102899998,0.265300006,0.239099994,0.389899999,0.230499998,0.981700003,0.976999998,0.965699971,0.865700006,0.64410001,0.492399991,0.40290001
Train 14,0.467400014,0.171599999,0.150099993,0.317099988,0.242500007,0.197999999,0.134499997,0.290100008,0.070200004,0.287900001,0.237599999,0.203400001,0.090899996,0.458000004,0.981100023,0.977500021,0.931900024,0.772800028,0.621100008,0.530200005
Train 15,0.379299998,0.196799994,0.549399972,0.345200002,0.195800006,0.075999998,0.130600005,0.210600004,0.232999995,0.179700002,0.129700005,0.122900002,0.134499997,0.112199999,0.27759999,0.977299988,0.950600028,0.828499973,0.6875,0.602800012
Train 16,0.148800001,0.205300003,0.428000003,0.067299999,0.180600002,0.347200006,0.092100002,0.30430001,0.173299998,0.396100014,0.124300003,0.098899998,0.087399997,0.183699995,0.44690001,0.191699997,0.980199993,0.957199991,0.9023,0.858399987
Train 17,0.193499997,0.114500001,0.256999999,0.294200003,0.386299998,0.358700007,0.086199999,0.086400002,0.368299991,0.238700002,0.110699996,0.092299998,0.198100001,0.056000002,0.312900007,0.2139,0.348199993,0.983500004,0.973399997,0.958000004
Train 18,0.520399988,0.524900019,0.220699996,0.194499999,0.234999999,0.057500001,0.335900009,0.1127,0.27669999,0.127700001,0.182699993,0.172499999,0.090599999,0.104699999,0.075300001,0.525900006,0.075900003,0.52579999,0.982599974,0.97390002
Train 19,0.1303,0.174700007,0.428600013,0.357600003,0.347299993,0.234099999,0.174400002,0.116899997,0.505699992,0.288300008,0.143700004,0.187999994,0.102600001,0.131899998,0.220699996,0.259600013,0.224399999,0.1743,0.119900003,0.980099976
