,Test 0,Test 1,Test 2,Test 3,Test 4,Test 5,Test 6,Test 7,Test 8,Test 9,Test 10,Test 11,Test 12,Test 13,Test 14,Test 15,Test 16,Test 17,Test 18,Test 19
baseline,0.1246,0.1332,0.1342,0.1123,0.1226,0.1376,0.1383,0.1341,0.1172,0.091,0.0902,0.1044,0.1015,0.1006,0.1112,0.1045,0.1026,0.0974,0.0868,0.0873
Train 0,0.9702,0.9166,0.9099,0.7771,0.6469,0.3891,0.3018,0.1774,0.1359,0.1106,0.1146,0.1093,0.1355,0.1383,0.1822,0.2161,0.2421,0.2525,0.263,0.2773
Train 1,0.9507,0.959,0.9567,0.8943,0.8109,0.5405,0.4273,0.2481,0.194,0.151,0.133,0.1202,0.1142,0.1124,0.1424,0.1885,0.2266,0.2554,0.2737,0.2933
Train 2,0.9539,0.958,0.9561,0.9081,0.8316,0.5596,0.4344,0.2585,0.2,0.1565,0.1388,0.1251,0.1245,0.1217,0.16,0.2123,0.2525,0.2756,0.2896,0.3067
Train 3,0.9293,0.9571,0.9568,0.929,0.8794,0.6383,0.5101,0.3051,0.2344,0.1728,0.1548,0.1361,0.1263,0.1246,0.1579,0.2042,0.242,0.2691,0.2818,0.3038
Train 4,0.8818,0.9368,0.9393,0.9384,0.921,0.7817,0.688,0.4721,0.3542,0.2549,0.1951,0.1591,0.1233,0.1216,0.1354,0.1849,0.2192,0.2476,0.2703,0.2961
Train 5,0.8265,0.8979,0.9058,0.9293,0.9295,0.8671,0.8105,0.638,0.5032,0.3699,0.2643,0.2046,0.1329,0.1292,0.1275,0.1597,0.1886,0.2157,0.239,0.2727
Train 6,0.7733,0.8666,0.8713,0.9071,0.9114,0.8982,0.8719,0.7618,0.6411,0.484,0.3353,0.2727,0.1729,0.1679,0.1375,0.146,0.1572,0.1759,0.2035,0.2365
Train 7,0.7184,0.8249,0.8316,0.8761,0.891,0.9003,0.8856,0.8121,0.7145,0.5714,0.4087,0.3274,0.1972,0.1925,0.1518,0.1427,0.1476,0.1531,0.1772,0.2147
Train 8,0.6577,0.7754,0.7765,0.8334,0.8549,0.8896,0.8855,0.8484,0.7847,0.6399,0.4725,0.3701,0.2293,0.222,0.172,0.1603,0.1578,0.1561,0.1747,0.2111
Train 9,0.6436,0.7668,0.7676,0.8264,0.8444,0.879,0.8802,0.8551,0.8087,0.7082,0.5741,0.4699,0.2948,0.2807,0.1892,0.1626,0.15,0.1455,0.1634,0.2017
Train 10,0.6358,0.7465,0.7486,0.8079,0.8362,0.8742,0.8772,0.8625,0.8304,0.7572,0.6539,0.5641,0.3577,0.3425,0.2182,0.1735,0.1514,0.1473,0.1624,0.2042
Train 11,0.6306,0.7296,0.7309,0.7885,0.8193,0.854,0.8588,0.8484,0.8252,0.7786,0.7049,0.635,0.4293,0.4024,0.2565,0.1965,0.1607,0.151,0.1643,0.1965
Train 12,0.6363,0.7102,0.7128,0.7701,0.7973,0.8383,0.8358,0.8342,0.8172,0.789,0.7367,0.6854,0.5438,0.5222,0.372,0.3075,0.2623,0.227,0.2252,0.2202
Train 13,0.6251,0.698,0.704,0.7625,0.7876,0.8288,0.8275,0.8266,0.8078,0.7845,0.7481,0.7034,0.588,0.5697,0.4058,0.3154,0.2581,0.2074,0.1985,0.1917
Train 14,0.6667,0.7124,0.722,0.774,0.7894,0.8194,0.8159,0.8097,0.7957,0.7699,0.7439,0.7053,0.6216,0.6083,0.4787,0.3899,0.317,0.2641,0.2421,0.2077
Train 15,0.6687,0.7096,0.7153,0.7703,0.7834,0.8032,0.7987,0.7876,0.7736,0.75,0.7233,0.6936,0.6366,0.6239,0.5267,0.4615,0.3815,0.3221,0.2798,0.2254
Train 16,0.6651,0.7038,0.7095,0.762,0.7781,0.7966,0.7944,0.7839,0.7689,0.7462,0.7221,0.6957,0.65,0.642,0.5743,0.5364,0.4738,0.4136,0.3551,0.2635
Train 17,0.6215,0.621,0.6203,0.6153,0.6033,0.6185,0.6187,0.6043,0.5963,0.583,0.5519,0.5482,0.5486,0.5573,0.5911,0.6441,0.6805,0.6666,0.5946,0.4612
Train 18,0.6138,0.6227,0.6208,0.6078,0.5919,0.5877,0.5779,0.5551,0.5471,0.5425,0.5084,0.5068,0.5117,0.5207,0.5836,0.6507,0.6964,0.7048,0.6525,0.5129
Train 19,0.5776,0.6013,0.5973,0.5842,0.5651,0.5575,0.5461,0.5402,0.5294,0.5253,0.4968,0.4927,0.4964,0.5093,0.5674,0.6328,0.6846,0.7099,0.6883,0.5964
