,Test 0,Test 1,Test 2,Test 3,Test 4,Test 5,Test 6,Test 7,Test 8,Test 9,Test 10,Test 11,Test 12,Test 13,Test 14,Test 15,Test 16,Test 17,Test 18,Test 19
baseline,0.1041,0.0857,0.0737,0.0891,0.1072,0.1111,0.1127,0.1036,0.1036,0.091,0.082,0.0717,0.0703,0.0943,0.0956,0.1063,0.1095,0.1107,0.1079,0.1015
Train 0,0.9704,0.9647,0.9291,0.899,0.6431,0.6058,0.3203,0.2235,0.1657,0.1434,0.1204,0.0932,0.0901,0.1145,0.142,0.1568,0.2229,0.2248,0.2555,0.291
Train 1,0.9736,0.9761,0.9513,0.9268,0.725,0.6917,0.3761,0.2569,0.1856,0.1603,0.1255,0.0951,0.0877,0.0906,0.1124,0.1251,0.1768,0.1807,0.2271,0.2713
Train 2,0.9491,0.9622,0.9726,0.9666,0.869,0.8441,0.5573,0.4077,0.2815,0.2259,0.1711,0.1203,0.1128,0.0913,0.1008,0.1059,0.1709,0.1732,0.203,0.241
Train 3,0.9025,0.9278,0.9754,0.9754,0.9124,0.8929,0.6455,0.4841,0.3443,0.2733,0.1979,0.1245,0.1107,0.1026,0.1116,0.1205,0.184,0.1852,0.225,0.2527
Train 4,0.7029,0.7564,0.9212,0.9451,0.9712,0.9681,0.9056,0.8013,0.673,0.5695,0.4398,0.206,0.1736,0.1014,0.0898,0.087,0.1188,0.1178,0.1827,0.2265
Train 5,0.618,0.6686,0.8806,0.9222,0.9743,0.9756,0.9221,0.8209,0.6915,0.569,0.4423,0.2155,0.1799,0.1172,0.1097,0.1073,0.1266,0.1255,0.1937,0.2314
Train 6,0.4129,0.4532,0.6507,0.7336,0.9398,0.9452,0.9735,0.9555,0.9157,0.8631,0.7591,0.4688,0.4128,0.2011,0.1444,0.1227,0.1102,0.111,0.1533,0.1917
Train 7,0.3011,0.335,0.4853,0.5606,0.8678,0.8873,0.9732,0.9739,0.9599,0.9307,0.882,0.6527,0.5975,0.3678,0.2559,0.2121,0.1195,0.1173,0.1067,0.1211
Train 8,0.2171,0.2503,0.3924,0.46,0.7622,0.7909,0.9482,0.9686,0.9718,0.9501,0.9292,0.7455,0.6953,0.4503,0.3293,0.2651,0.1366,0.1335,0.111,0.1158
Train 9,0.1719,0.1929,0.2916,0.3387,0.621,0.6477,0.8948,0.9506,0.9648,0.971,0.9596,0.8518,0.7975,0.5598,0.4173,0.3365,0.1772,0.1722,0.1146,0.105
Train 10,0.1531,0.1609,0.2348,0.2748,0.5066,0.5328,0.8297,0.921,0.9568,0.9659,0.9696,0.9135,0.8912,0.6961,0.5513,0.4732,0.2641,0.2556,0.1608,0.1294
Train 11,0.1426,0.1379,0.1436,0.1543,0.2538,0.2734,0.5092,0.6811,0.799,0.8721,0.9375,0.9686,0.965,0.8999,0.8006,0.7281,0.4596,0.4441,0.2434,0.1731
Train 12,0.1327,0.1344,0.133,0.1446,0.2141,0.2325,0.4455,0.6294,0.7649,0.8529,0.9248,0.9711,0.9716,0.9267,0.8507,0.7908,0.5095,0.5007,0.2919,0.1987
Train 13,0.1207,0.1192,0.1101,0.1206,0.1401,0.1432,0.2522,0.3807,0.5176,0.6167,0.7627,0.9407,0.9548,0.973,0.9554,0.9352,0.7748,0.7638,0.488,0.3095
Train 14,0.1654,0.1658,0.1454,0.1477,0.1445,0.1451,0.2119,0.3045,0.4043,0.4847,0.631,0.8809,0.9093,0.9683,0.9701,0.9628,0.8671,0.8616,0.6153,0.4395
Train 15,0.1885,0.1807,0.1596,0.1574,0.1494,0.1503,0.1743,0.2277,0.2906,0.3699,0.5001,0.7699,0.8227,0.953,0.969,0.9706,0.9218,0.9184,0.7335,0.5506
Train 16,0.2379,0.2286,0.1974,0.1871,0.1524,0.1493,0.1376,0.1551,0.1877,0.2234,0.2977,0.5062,0.5629,0.8128,0.9162,0.9475,0.9731,0.972,0.9138,0.7865
Train 17,0.2281,0.2171,0.1808,0.17,0.1502,0.145,0.1376,0.1475,0.1772,0.2117,0.2747,0.4759,0.5323,0.7813,0.8966,0.9389,0.9753,0.9752,0.9261,0.8061
Train 18,0.2827,0.2712,0.2241,0.2107,0.1896,0.1804,0.1622,0.1553,0.1695,0.1641,0.1872,0.3018,0.3498,0.5632,0.7087,0.787,0.9441,0.9467,0.9698,0.9375
Train 19,0.2866,0.2805,0.2473,0.2366,0.1845,0.1791,0.1609,0.163,0.1661,0.1736,0.1792,0.2541,0.2819,0.3937,0.4962,0.5751,0.8327,0.8413,0.9577,0.9714
